Query Strategy,actual_accuracy - estimated_accuracy,budget
Prototypical,0.049008410722198414,700
Prototypical,0.022832110722198373,700
Prototypical,0.061443600722198566,700
Prototypical,0.044477680722198376,700
Prototypical,0.016618020722198534,700
Prototypical,0.05422463072219852,700
Prototypical,0.01959312072219843,800
Prototypical,0.04003294072219843,800
Prototypical,0.024196100722198466,800
Prototypical,0.05248036072219853,800
Prototypical,0.052562640722198406,800
Prototypical,0.024073430722198585,800
Prototypical,0.015566830722198444,800
Prototypical,0.02374177072219852,800
Prototypical,0.060708520722198456,800
Prototypical,0.0210893007221985,800
Prototypical,0.062427370722198394,900
Prototypical,0.08108332072219859,900
Prototypical,0.05026291072219846,900
Prototypical,0.06934141072219846,900
Prototypical,0.05836642072219855,900
Prototypical,0.03973998072219842,900
Prototypical,0.05832937072219846,900
Prototypical,0.028282830722198504,900
Prototypical,0.04243337072219844,900
Prototypical,0.04223100072219843,900
Prototypical,0.03188025072219847,1000
Prototypical,0.0787141607221985,1000
Prototypical,0.06558985072219847,1000
Prototypical,0.07756564072219851,1000
Prototypical,0.05315718072219844,1000
Prototypical,0.05325750072219848,1000
Prototypical,0.013393440722198502,1000
Prototypical,0.04042632072219854,1000
Prototypical,0.0801957207221985,1000
Prototypical,0.027422620722198476,1000
DPP,0.07307226072219852,100
DPP,0.09928192072219844,100
DPP,0.09052428072219842,100
DPP,0.09872231072219861,100
DPP,0.06763338072219838,100
DPP,0.09481442072219848,100
DPP,0.04510098072219848,100
DPP,0.06886574072219842,100
DPP,0.05333754072219854,100
DPP,0.05062197072219854,100
DPP,0.03522276072219843,200
DPP,0.04840673072219848,200
DPP,0.07919815072219849,200
DPP,0.07410200072219852,200
DPP,0.05092126072219849,200
DPP,0.05221874072219845,200
DPP,0.05181592072219865,200
DPP,0.030021030722198527,200
DPP,0.08610006072219845,200
DPP,0.03869849072219844,200
DPP,0.037967520722198445,300
DPP,0.043230330722198396,300
DPP,0.03266636072219842,300
DPP,0.04253927072219854,300
DPP,0.02542701072219844,300
DPP,0.09093014072219852,300
DPP,0.048546200722198396,300
DPP,0.02193966072219844,300
DPP,0.04048299072219852,300
DPP,0.05708844072219832,300
DPP,0.033719980722198506,400
DPP,0.025418840722198466,400
DPP,0.031434420722198486,400
DPP,-0.01220537927780152,400
DPP,0.05609120072219853,400
DPP,0.03443848072219857,400
DPP,0.01876186072219843,400
DPP,0.019408810722198577,400
DPP,0.026696030722198394,400
DPP,0.032311320722198444,400
DPP,0.023834480722198514,500
DPP,0.04296598072219848,500
DPP,0.03263355072219842,500
DPP,0.02336415072219855,500
DPP,0.04666177072219857,500
DPP,0.016547240722198375,500
DPP,0.032588930722198484,500
DPP,0.04438457072219848,500
DPP,0.03540511072219854,500
DPP,0.0317709307221985,500
DPP,0.02877069072219851,600
DPP,0.02760802072219859,600
DPP,0.023993890722198485,600
DPP,0.01514165072219853,600
DPP,0.027618500722198513,600
DPP,0.025106440722198364,600
DPP,0.0243111807221984,600
DPP,0.031421470722198475,600
DPP,0.01989959072219849,600
DPP,0.026613860722198512,600
DPP,0.03514893072219849,700
DPP,0.02588727072219843,700
DPP,0.016491530722198444,700
DPP,0.03521204072219852,700
DPP,0.027160140722198522,700
DPP,0.029554230722198538,700
DPP,0.02689158072219855,700
DPP,0.027231970722198406,700
DPP,0.03453762072219846,700
DPP,0.023424570722198612,700
DPP,0.02063888072219844,800
DPP,0.030664990722198415,800
DPP,0.01585339072219849,800
DPP,0.020827940722198623,800
DPP,0.021773820722198578,800
DPP,0.036370040722198516,800
DPP,0.02497696072219846,800
DPP,0.017189280722198497,800
DPP,0.034929290722198525,800
DPP,0.016328400722198544,800
DPP,0.029308840722198415,900
DPP,0.02616671072219845,900
DPP,0.014330200722198483,900
DPP,0.02503184072219844,900
DPP,0.008384570722198448,900
DPP,0.023468090722198465,900
DPP,0.02380298072219844,900
DPP,0.017562230722198535,900
DPP,0.02071751072219863,900
DPP,0.007549920722198511,900
DPP,0.025161800722198535,1000
DPP,0.009234770722198471,1000
DPP,0.009522450722198483,1000
DPP,0.02575576072219843,1000
DPP,0.020068540722198436,1000
DPP,0.003063800722198473,1000
DPP,0.017229680722198437,1000
DPP,0.015611090722198462,1000
DPP,0.03054297072219847,1000
DPP,0.026901040722198455,1000
